condition,seed,basin,NSE
B_topology_features,42,01365000,0.6366263861091335
B_topology_features,42,01411300,-0.3203852219425589
B_topology_features,42,01413500,0.5517029943208518
B_topology_features,42,01414500,0.5643844607786432
B_topology_features,42,01415000,0.6173988515747874
B_topology_features,42,01423000,0.5752968184051679
B_topology_features,42,01434025,0.450291847127975
B_topology_features,42,01435000,0.5674386694104316
B_topology_features,42,01439500,0.7017044102566651
B_topology_features,42,01440000,0.675308495507694
B_topology_features,42,01440400,0.5279903661083676
B_topology_features,42,01451800,0.6998961710828355
B_topology_features,42,01466500,-0.3003298833044225
B_topology_features,42,01484100,0.2989341188228136
B_topology_features,42,01485500,0.6671692878127387
B_topology_features,42,01487000,0.546833627691196
B_topology_features,42,01491000,0.7358498826845167
B_topology_features,42,01510000,0.6456093576038252
B_topology_features,42,01516500,0.526768263976972
B_topology_features,42,01518862,0.5305543803380581
B_topology_features,42,01532000,0.6904326831493932
B_topology_features,42,01539000,0.5415759427904161
B_topology_features,42,01542810,0.5874938957159721
B_topology_features,42,01543000,0.6995198190927832
B_topology_features,42,01543500,0.7192181139227931
B_topology_features,42,01544500,0.629337686756434
B_topology_features,42,01545600,0.5423123339210282
B_topology_features,42,01547700,0.5768218698238194
B_topology_features,42,01548500,0.7365120182598838
B_topology_features,42,01549500,0.5744672839765319
B_topology_features,42,01550000,0.7011392920116293
B_topology_features,42,01552000,0.7277882596084302
B_topology_features,42,01552500,0.6237664811676952
B_topology_features,42,01557500,0.6780249498585802
B_topology_features,42,01567500,0.7016646926714656
B_topology_features,42,01568000,0.7588652153937054
B_topology_features,42,01580000,0.5804913482036397
B_topology_features,42,01583500,0.3998584680717786
B_topology_features,42,01586610,0.4183655596517471
B_topology_features,42,01591400,0.5278745439836168
B_topology_features,42,01594950,0.6980430736113036
B_topology_features,42,01596500,0.74226213177947
B_topology_features,42,01605500,0.5666545310096138
B_topology_features,42,01606500,0.5675836660101455
B_topology_features,42,01613050,0.6501343095819312
B_topology_features,42,01620500,0.548473938568261
B_topology_features,42,01632000,0.3490729119313747
B_topology_features,42,01632900,0.3904175306624881
B_topology_features,42,01634500,0.4731132479427711
B_topology_features,42,01638480,0.3162330142818578
B_topology_features,42,01639500,0.4788235547885435
B_topology_features,42,01644000,0.5862556036229398
B_topology_features,42,01658500,0.348975911649213
B_topology_features,42,01664000,0.635545433722809
B_topology_features,42,01666500,0.4638224349018059
B_topology_features,42,01667500,0.5401127536838399
B_topology_features,42,01669000,0.6421128147127337
B_topology_features,42,01669520,0.5699062207045608
B_topology_features,42,02011400,0.7280363305111184
B_topology_features,42,02011460,0.6367569211136266
B_topology_features,42,02013000,0.6584742689638068
B_topology_features,42,02014000,0.6692674381884576
B_topology_features,42,02015700,0.6647399992653078
B_topology_features,42,02016000,0.7016931953328229
B_topology_features,42,02017500,0.7015774424124208
B_topology_features,42,02018000,0.6925414724248418
B_topology_features,42,02027000,0.4644327963454142
B_topology_features,42,02027500,0.4945951661639589
B_topology_features,42,02028500,0.5143203546827987
B_topology_features,42,02038850,0.4918644897292389
B_topology_features,42,02046000,0.6859752329861292
B_topology_features,42,02051000,0.4536248658855488
B_topology_features,42,02051500,0.561388778460718
B_topology_features,42,02053200,0.5105650649812947
B_topology_features,42,02053800,0.664324172430247
B_topology_features,42,02055100,0.5741610269868452
B_topology_features,42,02056900,0.6214202230029505
B_topology_features,42,02059500,0.2524015639584206
B_topology_features,42,02064000,0.5826417414019751
B_topology_features,42,02065500,0.1603480986461642
B_topology_features,42,02069700,0.3953675028072043
B_topology_features,42,02070000,0.4441106094361977
B_topology_features,42,02074500,0.3563285943129807
B_topology_features,42,02077200,0.4989228628364069
B_topology_features,42,02081500,0.5179140186416139
B_topology_features,42,02082950,0.3649569631086256
B_topology_features,42,02096846,0.3260995584021163
B_topology_features,42,02111180,0.4106372047591811
B_topology_features,42,02111500,0.4054700123843039
B_topology_features,42,02112120,0.1853203111337724
B_topology_features,42,02112360,0.4499893798028239
B_topology_features,42,02118500,0.4238892980780155
B_topology_features,42,02125000,0.4608649379308337
