contrast,metric,seed,basin,delta
L_minus_G,NSE,11,02081500,0.06781943057185114
L_minus_G,NSE,11,01634500,-0.060609244086473946
L_minus_G,NSE,11,01439500,0.015105508461399353
L_minus_G,NSE,11,03070500,0.027946641753394008
L_minus_G,NSE,11,02143040,-0.014541637850964517
L_minus_G,NSE,11,01055000,0.07321054103814961
L_minus_G,NSE,11,02112360,0.07786210198158683
L_minus_G,NSE,11,01669520,0.05180603535649664
L_minus_G,NSE,11,03180500,0.024857173485246187
L_minus_G,NSE,11,01638480,0.17003232506176003
L_minus_G,NSE,11,02053200,0.10267615468835922
L_minus_G,NSE,11,01169000,0.004563935680677478
L_minus_G,NSE,11,01350140,-0.044516525617282254
L_minus_G,NSE,11,01591400,0.02071091621805199
L_minus_G,NSE,11,01586610,-0.2000141634733058
L_minus_G,NSE,11,01434025,0.08712523830120633
L_minus_G,NSE,11,03439000,0.04280042515231519
L_minus_G,NSE,11,02178400,-0.008955961432131954
L_minus_G,NSE,11,01664000,0.09524528981999936
L_minus_G,NSE,11,03015500,0.10869286213310225
L_minus_G,NSE,11,04296000,-0.07310879331697473
L_minus_G,NSE,11,02112120,0.02614057227153288
L_minus_G,NSE,11,02082950,0.05183140974687206
L_minus_G,NSE,11,01639500,0.12496760018184094
L_minus_G,NSE,11,01047000,0.09738883376621676
L_minus_G,NSE,11,02074500,0.058917313905719526
L_minus_G,NSE,11,01054200,0.05962238785975116
L_minus_G,NSE,11,02177000,0.051683292748875176
L_minus_G,NSE,11,03500240,0.047437284089594356
L_minus_G,NSE,11,04233000,0.028734856072470505
L_minus_G,NSE,11,03237280,0.020633374665318893
L_minus_G,NSE,11,01548500,0.10962546170337595
L_minus_G,NSE,11,02125000,0.08283445786075849
L_minus_G,NSE,11,03479000,-0.03757110937661734
L_minus_G,NSE,11,02118500,0.021516186631335366
L_minus_G,NSE,11,01139000,-0.11637936056662479
L_minus_G,NSE,11,01187300,0.024296255629809527
L_minus_G,NSE,11,03504000,0.05088092123994792
L_minus_G,NSE,11,02011400,0.10611657725371115
L_minus_G,NSE,11,01568000,0.0511507552394691
L_minus_G,NSE,11,01543500,0.10497668237214652
L_minus_G,NSE,11,01031500,0.07317058377633734
L_minus_G,NSE,11,01567500,-0.09561523194576815
L_minus_G,NSE,11,02027500,-0.05956219179255051
L_minus_G,NSE,11,03010655,0.12649190210075334
L_minus_G,NSE,11,04216418,0.13627674382330868
L_minus_G,NSE,11,02152100,-0.02204420251909589
L_minus_G,NSE,11,01510000,0.10295322845295651
L_minus_G,NSE,11,03026500,0.027885598348492913
L_minus_G,NSE,11,02128000,-0.10155863487739125
L_minus_G,NSE,11,04256000,-0.027992443526116184
L_minus_G,NSE,11,01620500,-0.4344130666675853
L_minus_G,NSE,11,03455500,0.10297097809859024
L_minus_G,NSE,11,01451800,0.05930432270330588
L_minus_G,NSE,11,04185000,0.09200938303938055
L_minus_G,NSE,11,02111180,0.004681093043907292
L_minus_G,NSE,11,01594950,0.024863519592138394
L_minus_G,NSE,11,01580000,0.15188356731805452
L_minus_G,NSE,11,03050000,0.07545320721717885
L_minus_G,NSE,11,01632000,-0.012898780501518492
L_minus_G,NSE,11,04221000,0.12977844606910882
L_minus_G,NSE,11,03021350,0.07650720096581509
L_minus_G,NSE,11,01583500,0.11569349153747843
L_minus_G,NSE,11,02059500,-0.19060071756243335
L_minus_G,NSE,11,01666500,0.012493054848821905
L_minus_G,NSE,11,03187500,0.05822188098178027
L_minus_G,NSE,11,01181000,0.03778079380804211
L_minus_G,NSE,11,01440400,0.036266966021730074
L_minus_G,NSE,11,01435000,0.12933143787784263
L_minus_G,NSE,11,01144000,0.11029992450958337
L_minus_G,NSE,11,02011460,0.131659117832428
L_minus_G,NSE,11,02143000,0.0630024229697217
L_minus_G,NSE,11,03140000,0.04969440578003892
L_minus_G,NSE,11,01440000,-0.042144179624340694
L_minus_G,NSE,11,01550000,0.018356992293161567
L_minus_G,NSE,11,02077200,0.07598489878561654
L_minus_G,NSE,11,03237500,-0.04170793881488921
L_minus_G,NSE,11,02018000,-0.013690223614696073
L_minus_G,NSE,11,02013000,0.022252164676067943
L_minus_G,NSE,11,03161000,0.13597243705877127
L_minus_G,NSE,11,04197170,0.11076179539168807
L_minus_G,NSE,11,03471500,-0.1313213912882384
L_minus_G,NSE,11,01137500,0.001994910039337383
L_minus_G,NSE,11,01052500,0.023832839583941445
L_minus_G,NSE,11,02051000,0.002828172217055891
L_minus_G,NSE,11,01057000,0.011329426985765556
L_minus_G,NSE,11,03144000,0.1225620243530362
L_minus_G,NSE,11,03078000,0.00447454543529302
L_minus_G,NSE,11,03170000,0.013689242520524836
L_minus_G,NSE,11,02038850,0.04837736465572606
L_minus_G,NSE,11,03241500,0.05953752013482316
L_minus_G,NSE,11,02064000,0.01576770328754673
L_minus_G,NSE,11,02096846,-0.0717907297748791
L_minus_G,NSE,11,02055100,0.06561903606220887
L_minus_G,NSE,11,04213075,0.20150601715751237
L_minus_G,NSE,11,01333000,-0.0836851418333282
L_minus_G,NSE,11,01552500,0.09086995477115123
L_minus_G,NSE,11,04115265,0.10570037696846124
L_minus_G,NSE,11,03500000,0.10814202510480864
L_minus_G,NSE,11,01544500,0.1510071886241081
L_minus_G,NSE,11,02149000,0.031645318240169806
L_minus_G,NSE,11,01552000,0.06408606390669602
L_minus_G,NSE,11,03159540,0.06992063362731438
L_minus_G,NSE,11,01414500,-0.03426433542757379
L_minus_G,NSE,11,01542810,0.0383993297055254
L_minus_G,NSE,11,01667500,0.045930966741886015
L_minus_G,NSE,13,03456500,-0.04527381791572116
L_minus_G,NSE,13,03182500,0.012017738229614716
L_minus_G,NSE,13,01539000,0.19216733092372895
L_minus_G,NSE,13,01350000,0.08552657302464983
L_minus_G,NSE,13,03238500,-0.06195250739952318
L_minus_G,NSE,13,01030500,0.07797601069067772
L_minus_G,NSE,13,01365000,0.06323031922851052
L_minus_G,NSE,13,03460000,-0.3952242637024671
L_minus_G,NSE,13,02046000,0.020250338859446382
L_minus_G,NSE,13,03028000,0.06875556028817698
L_minus_G,NSE,13,01350080,-0.5573633215227681
L_minus_G,NSE,13,01484100,0.0059866890640423165
L_minus_G,NSE,13,02015700,0.022482418690527473
L_minus_G,NSE,13,04224775,0.05066668000612373
L_minus_G,NSE,13,01466500,0.3528645248355985
L_minus_G,NSE,13,02016000,0.06312031946578966
L_minus_G,NSE,13,01134500,0.08016134583706225
L_minus_G,NSE,13,01518862,0.091208079476221
L_minus_G,NSE,13,01545600,-0.004499632607611215
L_minus_G,NSE,13,04197100,0.05699432180566144
L_minus_G,NSE,13,01549500,-0.10774102410296416
L_minus_G,NSE,13,02140991,-0.0021949273573652617
L_minus_G,NSE,13,03049000,0.013761811908015398
L_minus_G,NSE,13,02111500,0.06745073225211184
L_minus_G,NSE,13,03450000,0.006060753978804012
L_minus_G,NSE,13,04122200,0.08413257707504229
L_minus_G,NSE,13,02053800,-0.36238146493611756
L_minus_G,NSE,13,04196800,0.10850914288986324
L_minus_G,NSE,13,02017500,0.02103069575205252
L_minus_G,NSE,13,03165000,-0.4618701616174663
L_minus_G,NSE,13,01543000,0.09089973918419281
L_minus_G,NSE,13,01491000,0.013603754874592533
L_minus_G,NSE,13,02051500,0.07901821290252076
L_minus_G,NSE,13,02070000,0.09696251212792195
L_minus_G,NSE,13,01415000,-0.16832875519692925
L_minus_G,NSE,13,03011800,0.05339709690349426
L_minus_G,NSE,13,02014000,0.042026828180957265
L_minus_G,NSE,13,02028500,0.004780758518860173
L_minus_G,NSE,13,02056900,0.002097443458286108
L_minus_G,NSE,13,01516500,-0.07967941983862181
L_minus_G,NSE,13,03213700,0.03311282331607468
L_minus_G,NSE,13,01547700,0.09074179065909294
L_minus_G,NSE,13,01485500,-0.034487414706181996
L_minus_G,NSE,13,01632900,0.01959162291489369
L_minus_G,NSE,13,02027000,-0.0018398066069257313
L_minus_G,NSE,13,01078000,0.056994706315564025
L_minus_G,NSE,13,03049800,0.07200381793156019
L_minus_G,NSE,13,01606500,0.048959836926971256
L_minus_G,NSE,13,02065500,0.2560019552136543
L_minus_G,NSE,13,03164000,0.1226893326803058
L_minus_G,NSE,13,02137727,0.03248916022531545
