basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
03070500,0.7947365342181061,0.8473996778422116,0.7846490143623573,0.7557011163845907,0.7255260786658586,0.6978679085076017,0.7632724919647007,0.6157327139060605,0.698471327768941,0.7693193389880609,0.7920119933199784,0.6865279634669476,0.7751105017323737,0.7444754683189547,0.6856465740037385
02143040,0.5591554372905946,0.5839310442593479,0.49521973848125517,0.5696590128140381,0.23006355091066633,,0.569750658705054,0.0991607475845171,,0.5386237093514981,-0.07322076380342168,,0.5314469911146186,-0.026411482499699934,
01055000,0.693235443234088,0.6760775760253871,0.7789718121610895,0.6188679173934076,0.544514732373865,0.6787352709703232,0.6401216203913874,0.5557968881233174,0.6768130698940705,0.6019096463180088,0.4714352031266835,0.6484123363651921,0.6231322859963065,0.5158928187550115,0.6416509710885206
02112360,0.42765418367486624,0.6013127534022327,0.1910591560331422,0.3519653557857498,0.18868805292851865,,0.38209788140525863,0.2169036121560646,,0.3888699826179387,0.23762093928430475,,0.40464121575195433,0.27985078456635565,
01669520,0.6792046993275997,0.7779878362177776,0.5311588966252283,0.5677078030486383,0.6829476123108528,,0.5863551320019973,0.6470421588323501,,0.5576489869326177,0.7233532818764048,,0.5638124442413942,0.7312497362405158,
03180500,0.7628048966840595,0.8535564618104653,0.7979343012018297,0.7578171475953086,0.513925272640623,0.6697375332185104,0.7654386250408116,0.6296937731219491,0.6688736846123469,0.7418325649940644,0.3850486858428579,0.5960345495204823,0.7351631477325401,0.45977516084232245,0.6112167395707971
01638480,0.5431251800647531,0.5990069998489541,0.42716786880065793,0.3370698047773133,0.3960451804195859,,0.32733213035334446,0.3715608778351129,,0.37207900195112087,0.44160498035370715,,0.3636720738122632,0.4527984959282385,
02053200,0.5432872417931027,0.6839028473549481,0.3815807028482971,0.4070190179351121,0.5653218087302531,,0.519986498182169,0.614241148631781,,0.43317050579886063,0.6523124766801215,,0.46744413774250315,0.6654183034366112,
01169000,0.5852253071903676,0.5091278433902513,0.7428876639212993,0.5686894137945914,0.1999788338564099,0.548088770102259,0.5578515489720507,0.20692337086832535,0.5676395117616714,0.6102008957709674,0.3298978374653468,0.5692367257494726,0.6061638021146348,0.3114694784127125,0.5404218247912712
01350140,0.3549702645098611,0.6178269885380009,0.7482918227677432,0.41815257300586994,0.4525742157162085,0.40299435485623175,0.3915283574613327,0.45310815001278365,0.4190960228823138,0.3989342017452587,0.5365497595235208,0.5025835654369762,0.33424950442658313,0.4398486857104548,0.45655451837529554
01591400,0.5041956543267814,0.6605007037901897,0.2696812447415607,0.534870824979632,0.5717348141328035,,0.5237668712298014,0.5543669813137435,,0.5148829758136578,0.6466794282742073,,0.48580336320999784,0.6318375082662224,
