condition,seed,basin,metric,value
L,11,03049800,KGE,0.3803910934841048
L,11,03049800,logNSE,0.6852757576600976
L,11,03050000,NSE,0.8298484050785833
L,11,03050000,KGE,0.8727094539432674
L,11,03050000,logNSE,0.8069263012137519
L,11,03066000,NSE,0.7307524510526826
L,11,03066000,KGE,0.8388726711559096
L,11,03066000,logNSE,0.8119750713153326
L,11,03069500,NSE,0.8740889709005485
L,11,03069500,KGE,0.8614284906394492
L,11,03069500,logNSE,0.7887957318782414
L,11,03070500,NSE,0.7929251242492668
L,11,03070500,KGE,0.8214826182476584
L,11,03070500,logNSE,0.7645573032074777
L,11,03076600,NSE,0.7022973368014027
L,11,03076600,KGE,0.7396891683352146
L,11,03076600,logNSE,0.7447421702037816
L,11,03078000,NSE,0.7389649279451695
L,11,03078000,KGE,0.751593126537599
L,11,03078000,logNSE,0.6760702875952156
L,11,03140000,NSE,0.7243525296914306
L,11,03140000,KGE,0.7568483126580559
L,11,03140000,logNSE,0.6604378485069093
L,11,03144000,NSE,0.7979780776368811
L,11,03144000,KGE,0.7370827961904678
L,11,03144000,logNSE,0.7358373980179701
L,11,03159540,NSE,0.7472617089720652
L,11,03159540,KGE,0.7728326729560965
L,11,03159540,logNSE,0.560545339071757
L,11,03161000,NSE,0.7083145556613654
L,11,03161000,KGE,0.7439303822925409
L,11,03161000,logNSE,0.5597866304645278
L,11,03164000,NSE,0.6243241671612759
L,11,03164000,KGE,0.7227348899068707
L,11,03164000,logNSE,0.5017733496755608
L,11,03165000,NSE,0.5225602078541187
L,11,03165000,KGE,0.6723666737625975
L,11,03165000,logNSE,0.5729588276506796
L,11,03170000,NSE,0.7229452219174697
L,11,03170000,KGE,0.6808171713860834
L,11,03170000,logNSE,0.3169432015804512
L,11,03173000,NSE,0.5558772980296445
L,11,03173000,KGE,0.6637884203842979
L,11,03173000,logNSE,0.46916435250538013
L,11,03180500,NSE,0.7992471738496204
L,11,03180500,KGE,0.8747510696669734
L,11,03180500,logNSE,0.7828165515094682
L,11,03182500,NSE,0.8365272982889301
L,11,03182500,KGE,0.8658207994183502
L,11,03182500,logNSE,0.7305760133440674
L,11,03186500,NSE,0.7705587340529485
L,11,03186500,KGE,0.8691420345388459
L,11,03186500,logNSE,0.8084494092134527
L,11,03187500,NSE,0.80893242233791
L,11,03187500,KGE,0.8138612627368549
L,11,03187500,logNSE,0.8143443320358232
L,11,03213700,NSE,0.7340213656054138
L,11,03213700,KGE,0.6978045230039294
L,11,03213700,logNSE,0.5409831853533689
L,11,03237280,NSE,0.5221256630976814
L,11,03237280,KGE,0.5293234542293707
L,11,03237280,logNSE,0.45868543091254077
L,11,03237500,NSE,0.5487919314746819
L,11,03237500,KGE,0.7210871614699446
L,11,03237500,logNSE,0.43369465569888843
L,11,03238500,NSE,0.5331063308052104
L,11,03238500,KGE,0.6993161543390497
L,11,03238500,logNSE,0.40796165085430547
L,11,03241500,NSE,0.8018309626903355
L,11,03241500,KGE,0.8134463959046581
L,11,03241500,logNSE,0.7264915792981734
L,11,03439000,NSE,0.6758190766601294
L,11,03439000,KGE,0.7161090510546935
L,11,03439000,logNSE,0.6143047492100946
L,11,03450000,NSE,0.6051263782012432
L,11,03450000,KGE,0.7117495557510628
L,11,03450000,logNSE,0.6820272396385034
L,11,03455500,NSE,0.5971581416664105
L,11,03455500,KGE,0.7555101562325197
L,11,03455500,logNSE,0.7155075012411355
L,11,03456500,NSE,0.4935873769157846
L,11,03456500,KGE,0.610777453910122
L,11,03456500,logNSE,0.5585536681280698
L,11,03460000,NSE,0.679794068265015
L,11,03460000,KGE,0.7935049070244609
L,11,03460000,logNSE,0.59112433405218
L,11,03463300,NSE,0.5075801934566928
L,11,03463300,KGE,0.7065917456470836
L,11,03463300,logNSE,0.7248737787732216
L,11,03471500,NSE,0.41073765491761194
L,11,03471500,KGE,0.6834293341591448
L,11,03471500,logNSE,0.5923422301605248
L,11,03473000,NSE,0.6886269827518932
L,11,03473000,KGE,0.7704450688558109
L,11,03473000,logNSE,0.710349368672923
L,11,03479000,NSE,0.44096355452834013
L,11,03479000,KGE,0.639655374977248
L,11,03479000,logNSE,0.4751112210422552
L,11,03488000,NSE,0.1773131943140056
L,11,03488000,KGE,0.45271001648892684
L,11,03488000,logNSE,0.4735153725961937
L,11,03498500,NSE,0.795538395496922
L,11,03498500,KGE,0.7934689950401089
L,11,03498500,logNSE,0.6454964794342094
L,11,03500000,NSE,0.647248130103635
L,11,03500000,KGE,0.6882183830773364
L,11,03500000,logNSE,0.5402923144006275
L,11,03500240,NSE,0.527776951253625
L,11,03500240,KGE,0.6376894283975276
L,11,03500240,logNSE,0.4394473519612595
L,11,03504000,NSE,0.7210722575470967
L,11,03504000,KGE,0.7849221381792568
L,11,03504000,logNSE,0.7001267495641778
